rho[kg/m^3]	drho[kg/m^3]	V[m^3/mol]	dV[m^3/mol]	P[Pa]	dP[Pa]	T[K]	dT[K]
8095.9948081	15.0091694826	8.87401754854e-06	1.64515462935e-08	95215331893.3	1036988109.88	1442.66	106.060905144
8142.26457436	21.8777184504	8.82358947487e-06	2.37083927316e-08	95579653914.6	452404088.034	1384.46	105.474791301
8081.19127068	8.95912918008	8.89027342549e-06	9.85610974884e-09	96394779605.8	663489866.348	2133.3	114.956035074
8057.98429829	34.6263854617	8.91587738825e-06	3.83128826945e-08	96668698042.2	791779361.11	1546.45	107.173235931
8005.61090858	43.5320611928	8.97420581895e-06	4.87989837788e-08	97184316846.5	812188853.149	1674.49	108.660480857
8093.23229731	44.9190838242	8.87704656938e-06	4.92694123081e-08	97438491976.2	1018547232.8	1717.17	109.183647585
8115.98285855	25.6676413102	8.85216260952e-06	2.79958864675e-08	97542295359.5	1076075155.31	1916.02	111.794456034
8090.18004196	15.3166918988	8.88039569298e-06	1.68127636299e-08	98009182543.8	1221571361.44	1856.85	110.988389032
8041.0709937	37.8842305458	8.9346307297e-06	4.20940955093e-08	98558782861	1384739808.81	2037.27	113.520539551
8405.29821703	10.0108882276	8.54746591316e-06	1.01802129653e-08	105932343040	286621021.732	1143.9	103.349939526
8394.9281066	10.1421105118	8.55802445092e-06	1.03391510495e-08	106289208904	296848066.939	1221.5	103.981969591
8396.12519182	8.91089741413	8.55680428277e-06	9.08142785089e-09	106827304736	297005875.812	1331.11	104.961764943
8393.09973481	9.23584611157	8.55988875029e-06	9.41938231735e-09	107423134334	316328004.404	1414.53	105.774197704
8373.78559688	17.2808896045	8.57963213517e-06	1.77056928506e-08	107651347577	408602271.736	1417.44	105.803561377
8384.59089566	8.52339837628	8.56857548496e-06	8.71042884314e-09	107837012499	326990418.784	1495.04	106.611639139
8379.79364726	7.62172728316	8.57348080683e-06	7.79789280353e-09	108291151980	806856286.903	1897.59	111.540791193
8378.87407099	14.6120077205	8.57442174107e-06	1.49530253847e-08	108540740540	376294503.65	1623.08	108.048352139
8381.37884569	7.76864963601	8.57185927551e-06	7.94520480063e-09	109297761483	354482708.232	1727.84	109.316538547
8376.28959371	14.3219549339	8.57706735139e-06	1.46652489384e-08	109780100005	907818835.362	2088.68	114.281680072
8711.72093797	6.75590896112	8.24682063527e-06	6.39538041075e-09	128598753192	646341661.294	1332.08	104.970883582
8705.93246403	21.2842628336	8.25230385106e-06	2.01752316451e-08	131343680431	351245864.85	1541.6	107.119372664
8670.61168434	2.69329165709	8.28592060347e-06	2.57379774866e-09	131655341178	1071939739.95	1622.11	108.036994127
8760.23028402	25.1131518046	8.20115427001e-06	2.35104358537e-08	132980336383	809370684.676	1515.41	106.831681162
8664.91539311	2.71960398102	8.29136774459e-06	2.602360866e-09	133104236861	1094267893.97	1689.04	108.83731713
8776.69531868	26.7821802596	8.18576894735e-06	2.49789620753e-08	133796772316	443613674.457	1928.63	111.969356969
8722.58775158	20.5037430511	8.236546544e-06	1.93612307237e-08	133921242496	712387817.787	1387.37	105.503444967
8725.72348323	24.5246675664	8.23358660609e-06	2.31414592477e-08	135537854727	724967291.588	1690.98	108.861014142
8802.48763978	17.486640672	8.16178368435e-06	1.62138459457e-08	135955585542	817148961.404	2231.27	116.480354138
8732.24255777	27.9993075715	8.22743980424e-06	2.63806938574e-08	136648564028	822250256.576	1829.69	110.626561458
8829.24981182	11.8760557788	8.13704465626e-06	1.09449838063e-08	138203016893	815249130.378	2431.09	119.766974162
8714.9564833	10.2452043244	8.2437588917e-06	9.69126976227e-09	138378936409	548565278.118	2013.02	113.167488264
8815.62772892	40.8557662358	8.14961817913e-06	3.77691646558e-08	139118706791	709351004.37	2705.6	124.640924258
8803.6479836	19.1968040775	8.16070793991e-06	1.77948404739e-08	142143597012	710658679.91	2909.3	128.500933849
8816.55111185	17.5912310892	8.14876464602e-06	1.62588295765e-08	142458779992	721863215.562	2895.72	128.237585754
8829.671961	8.91091703906	8.13665562179e-06	8.21152400015e-09	143455593862	908825347.877	3024.73	130.772447022
9105.52072392	20.4324121003	7.89015830927e-06	1.77051890825e-08	154375230355	470014162.859	2016.9	113.223716597
9082.26136952	10.8088731557	7.91036472933e-06	9.41418942879e-09	154403304942	442290125.098	1983.92	112.748952988
9097.3060158	21.1823558674	7.89728298413e-06	1.83881973702e-08	154727609514	423422040.38	2005.26	113.055329817
9114.71886257	25.1834054871	7.8821959386e-06	2.17780207424e-08	155412795765	510764835.009	2047.94	113.677102356
9104.48694539	21.3411986007	7.89105420557e-06	1.84968747806e-08	155503124877	516648317.717	2135.24	114.985640843
9086.19024295	13.0181058757	7.90694428347e-06	1.13285585139e-08	155744599219	496841352.439	2189.56	115.824149468
9086.76678161	10.2549363283	7.90644260238e-06	8.9228729447e-09	155982534269	545536112.242	2153.67	115.268074071
