rho[kg/m^3]	drho[kg/m^3]	V[m^3/mol]	dV[m^3/mol]	P[Pa]	dP[Pa]	T[K]	dT[K]	c/a	dc/a
8888.09466848	34.533414958	8.08317222979e-06	3.14060044588e-08	131343680431	351245864.85	1541.6	107.119372664	2.02617543186	0.00524827570482
9000.8775674	nan	7.98188837278e-06	‡	132980336383	809370684.676	1515.41	106.831681162	2.05591137872	‡
8959.26679208	nan	8.01895977286e-06	‡	133796772316	443613674.457	1928.63	111.969356969	2.05298604971	‡
8943.28466226	16.9877542228	8.03329008448e-06	1.52592210479e-08	138378936409	548565278.118	2013.02	113.167488264	2.00336571033	0.00253692653878
8978.50603199	26.7756372057	8.00177665906e-06	2.38628417758e-08	139118706791	709351004.37	2705.6	124.640924258	2.0575257706	0.00409062587018
8955.95379393	26.8253767612	8.02192615696e-06	2.40277246246e-08	142458779992	721863215.562	2895.72	128.237585754	2.05262934023	0.00409876726848
9294.75724032	nan	7.72951871065e-06	‡	143203174226	154672291.464	300	0	2.02432680097	‡
9232.65298245	61.3120347132	7.78151200273e-06	5.16753239767e-08	145777263580	643140666.67	1223.44	103.998430757	2.00523380759	0.00887754690177
9246.95770492	50.4469959005	7.76947427388e-06	4.23865501878e-08	147654611308	435969392.52	1358.27	105.220021384	2.00548819941	0.00729399212173
9228.92846285	72.4300517441	7.78465238833e-06	6.10951507064e-08	149416499480	464352740.451	1504.74	106.716013794	1.99997496758	0.0104640743485
9246.65345509	44.1351215616	7.76972991893e-06	3.70856306163e-08	150931710626	326693114.812	1387.37	105.503444967	2.0137122755	0.00640775508681
9222.69304354	90.8800305509	7.78991555512e-06	7.67615012552e-08	151276298094	545547386.206	1664.79	108.543466409	2.00146069864	0.0131482065365
9240.48483282	54.5451641601	7.77491671701e-06	4.5894140441e-08	151642718111	439174672.044	1600.77	107.788927539	2.01462649415	0.00792802072134
9226.42319625	51.5238433673	7.78676616841e-06	4.34842529836e-08	152892591291	413001346.274	1818.05	110.473084957	2.00943297028	0.00748095677064
9187.6225216	57.6434851017	7.81965082165e-06	4.9060779824e-08	154375230355	470014162.859	2016.9	113.223716597	2.01399043615	0.00842390055593
9191.04812608	56.4129973879	7.81673635199e-06	4.79777193371e-08	154403304942	442290125.098	1983.92	112.748952988	2.01094039315	0.00822852653942
9218.44083276	54.9681603498	7.79350882686e-06	4.64715075634e-08	154727609514	423422040.38	2005.26	113.055329817	2.01323961514	0.00800309437684
9232.06330998	53.1583979025	7.78200902526e-06	4.48089574731e-08	155412795765	510764835.009	2047.94	113.677102356	2.01539475319	0.00773645447202
9194.55030971	58.2626878387	7.81375897461e-06	4.95130903252e-08	155503124877	516648317.717	2135.24	114.985640843	2.01243402993	0.00850139932404
9224.24620467	51.9517785471	7.78860390388e-06	4.38661128755e-08	155744599219	496841352.439	2189.56	115.824149468	2.01349981227	0.00756014052753
9225.35493076	60.6862500346	7.7876678501e-06	5.12288537281e-08	155982534269	545536112.242	2153.67	115.268074071	2.01285909283	0.00882732939878
