# Supplementary Table S1 from Fischer et al. 2011. Pressure-volume-temperature data from synchrotron X-ray diffraction experiments.
# Original xls used: 1-s2.0-S0012821X11000963-mmc1.xls
# Footnotes: * B8-FeO observed but no volume/c/a reported because only one non-overlapping peak detected; † rhombohedrally-distorted FeO present; ‡ B8 volume/c/a uncertainty unconstrained due to only two non-overlapping peaks.
P[Pa]	dP[Pa]	T[K]	dT[K]	V_NaCl[m^3/mol]	dV_NaCl[m^3/mol]	V_Fe[m^3/mol]	dV_Fe[m^3/mol]	c/a_Fe	dc/a_Fe	V_B1-FeO[m^3/mol]	dV_B1-FeO[m^3/mol]	V_B8-FeO[m^3/mol]	dV_B8-FeO[m^3/mol]	c/a_B8-FeO	dc/a_B8-FeO
95215331893.3	1036988109.88	1442.66	106.060905144	1.28144087239e-05	1.72261847668e-08	5.18270232406e-06	3.09289912018e-08	1.60129046464	0.00637071751318	8.87401754854e-06	1.64515462935e-08	nan	nan	nan	nan
95579653914.6	452404088.034	1384.46	105.474791301	1.28162851295e-05	1.44053971705e-08	5.17432203539e-06	1.10838317448e-08	1.60374021631	0.0022902306941	8.82358947487e-06	2.37083927316e-08	nan	nan	nan	nan
96394779605.8	663489866.348	2133.3	114.956035074	1.28623238896e-05	2.77514197564e-08	5.23391147765e-06	1.65648227839e-08	1.60659947243	0.00338982112571	8.89027342549e-06	9.85610974884e-09	nan	nan	nan	nan
96668698042.2	791779361.11	1546.45	107.173235931	1.28288693187e-05	1.29954371708e-08	5.17773869783e-06	2.27009737674e-08	1.60161107863	0.00468133976411	8.91587738825e-06	3.83128826945e-08	nan	nan	nan	nan
97184316846.5	812188853.149	1674.49	108.660480857	1.283293377e-05	2.06276004907e-08	5.18394017292e-06	2.31363630172e-08	1.60117422728	0.00476411724677	8.97420581895e-06	4.87989837788e-08	nan	nan	nan	nan
97438491976.2	1018547232.8	1717.17	109.183647585	1.28292407673e-05	2.10103545786e-08	5.18526731903e-06	2.99143504252e-08	1.60069327096	0.00615637812349	8.87704656938e-06	4.92694123081e-08	nan	nan	nan	nan
97542295359.5	1076075155.31	1916.02	111.794456034	1.27838012522e-05	3.80087537082e-08	5.20215734712e-06	3.14921800036e-08	1.60414779025	0.0064739949976	8.85216260952e-06	2.79958864675e-08	nan	nan	nan	nan
98009182543.8	1221571361.44	1856.85	110.988389032	1.28310319748e-05	2.35014283971e-08	5.19226564806e-06	3.63189432219e-08	1.60311444747	0.00747566047174	8.88039569298e-06	1.68127636299e-08	nan	nan	nan	nan
98558782861	1384739808.81	2037.27	113.520539551	1.28254600078e-05	1.62293033932e-08	5.20349671435e-06	4.1349941277e-08	1.60259911894	0.00849010874757	8.9346307297e-06	4.20940955093e-08	nan	nan	nan	nan
101413094113	125363835.903	300	0	1.23180544228e-05	1.36163422172e-08	5.04476404209e-06	3.872274546e-09	1.60369838998	0.000820647626353	†	†	*	*	*	*
105932343040	286621021.732	1143.9	103.349939526	1.23847981642e-05	2.75000171694e-08	5.06245159307e-06	4.31617671303e-09	1.60619093366	0.000912944223049	8.54746591316e-06	1.01802129653e-08	*	*	*	*
106289208904	296848066.939	1221.5	103.981969591	1.23635579741e-05	2.95642171791e-08	5.06514340313e-06	4.32115089306e-09	1.60609967107	0.00091345870862	8.55802445092e-06	1.03391510495e-08	*	*	*	*
106827304736	297005875.812	1331.11	104.961764943	1.23310359014e-05	2.02740786049e-08	5.06877279034e-06	3.21563974103e-09	1.60666413853	0.000679513992579	8.55680428277e-06	9.08142785089e-09	*	*	*	*
107423134334	316328004.404	1414.53	105.774197704	1.23325431525e-05	2.4274418811e-08	5.07002628355e-06	3.84434269649e-09	1.60695361381	0.000812314051694	8.55988875029e-06	9.41938231735e-09	*	*	*	*
