rho[kg/m^3]	P[Pa]	U[J/mol]	T[K]
8.221082e+03	-5.033777e+10	-1.565482e+06	300.0
8.296504e+03	-2.171371e+10	-1.567983e+06	300.0
8.373322e+03	-1.563480e+10	-1.569272e+06	300.0
8.451579e+03	-1.818691e+10	-1.570457e+06	300.0
8.531308e+03	-1.613249e+10	-1.571512e+06	300.0
8.612563e+03	-1.425045e+10	-1.572450e+06	300.0
8.695374e+03	-1.204689e+10	-1.573260e+06	300.0
8.779794e+03	-9.711061e+09	-1.573929e+06	300.0
8.865870e+03	-7.321866e+09	-1.574452e+06	300.0
8.953652e+03	-4.472586e+09	-1.574818e+06	300.0
9.043191e+03	-1.939673e+09	-1.575007e+06	300.0
9.134536e+03	8.157458e+08	-1.575046e+06	300.0
9.227745e+03	4.040823e+09	-1.574886e+06	300.0
9.322872e+03	7.364480e+09	-1.574536e+06	300.0
9.419992e+03	1.091429e+10	-1.573966e+06	300.0
9.519148e+03	1.436032e+10	-1.573183e+06	300.0
9.620414e+03	1.850355e+10	-1.572168e+06	300.0
9.723859e+03	2.249353e+10	-1.570893e+06	300.0
9.829554e+03	2.664992e+10	-1.569377e+06	300.0
9.937567e+03	3.144619e+10	-1.567575e+06	300.0
1.004799e+04	3.621078e+10	-1.565482e+06	300.0
1.016089e+04	4.166223e+10	-1.563078e+06	300.0
1.027635e+04	4.694095e+10	-1.560331e+06	300.0
1.039447e+04	5.244558e+10	-1.557263e+06	300.0
1.051533e+04	5.881504e+10	-1.553819e+06	300.0
1.063905e+04	6.504115e+10	-1.549986e+06	300.0
1.076570e+04	7.231717e+10	-1.545749e+06	300.0
1.089541e+04	7.926648e+10	-1.541049e+06	300.0
1.102828e+04	8.646753e+10	-1.535937e+06	300.0
1.116443e+04	9.495478e+10	-1.530318e+06	300.0
1.130399e+04	1.037336e+11	-1.524181e+06	300.0
1.144707e+04	1.129377e+11	-1.517481e+06	300.0
1.159384e+04	1.223230e+11	-1.510212e+06	300.0
1.174440e+04	1.320955e+11	-1.502339e+06	300.0
1.189894e+04	1.434146e+11	-1.493830e+06	300.0
1.205759e+04	1.554426e+11	-1.484582e+06	300.0
1.222053e+04	1.673916e+11	-1.474612e+06	300.0
1.238793e+04	1.800764e+11	-1.463863e+06	300.0
1.255998e+04	1.942850e+11	-1.452300e+06	300.0
1.273689e+04	2.093318e+11	-1.439814e+06	300.0
1.291884e+04	2.245373e+11	-1.426408e+06	300.0
1.310607e+04	2.413193e+11	-1.412006e+06	300.0
1.329881e+04	2.593283e+11	-1.396533e+06	300.0
1.349730e+04	2.779607e+11	-1.379920e+06	300.0
1.370180e+04	2.979788e+11	-1.362121e+06	300.0
1.391259e+04	3.198740e+11	-1.343023e+06	300.0
1.412998e+04	3.422724e+11	-1.322545e+06	300.0
1.435427e+04	3.673177e+11	-1.300627e+06	300.0
1.458579e+04	3.933624e+11	-1.277089e+06	300.0
1.482490e+04	4.213386e+11	-1.251932e+06	300.0
1.507198e+04	4.512907e+11	-1.224927e+06	300.0
1.532744e+04	4.835420e+11	-1.196059e+06	300.0
1.559170e+04	5.177906e+11	-1.165073e+06	300.0
1.586525e+04	5.545227e+11	-1.131954e+06	300.0
1.614856e+04	5.944011e+11	-1.096412e+06	300.0
1.644216e+04	6.357779e+11	-1.058392e+06	300.0
1.674665e+04	6.817416e+11	-1.017649e+06	300.0
1.706262e+04	7.321559e+11	-9.739505e+05	300.0
1.739075e+04	7.843895e+11	-9.270462e+05	300.0
1.773174e+04	8.401876e+11	-8.768318e+05	300.0
1.808638e+04	9.031102e+11	-8.229303e+05	300.0
1.845549e+04	9.695202e+11	-7.650230e+05	300.0
1.883997e+04	1.039894e+12	-7.028959e+05	300.0
1.924083e+04	1.117882e+12	-6.361792e+05	300.0
1.965910e+04	1.202059e+12	-5.644198e+05	300.0
2.009598e+04	1.294078e+12	-4.872523e+05	300.0
2.055270e+04	1.393595e+12	-4.041198e+05	300.0
2.103067e+04	1.500131e+12	-3.146356e+05	300.0
2.153140e+04	1.618421e+12	-2.181872e+05	300.0
2.205655e+04	1.746855e+12	-1.140798e+05	300.0
2.260797e+04	1.888453e+12	-1.665610e+03	300.0
2.318766e+04	2.041817e+12	1.199523e+05	300.0
2.379786e+04	2.210498e+12	2.514625e+05	300.0
2.444105e+04	2.398467e+12	3.940803e+05	300.0
2.511998e+04	2.617279e+12	5.488203e+05	300.0
2.583768e+04	2.817270e+12	7.169159e+05	300.0
2.607893e+04	2.875639e+12	7.737599e+05	300.0
2.639218e+04	2.980804e+12	8.482576e+05	300.0
2.671306e+04	3.087890e+12	9.254223e+05	300.0
2.704184e+04	3.201390e+12	1.005367e+06	300.0
2.737880e+04	3.317568e+12	1.088250e+06	300.0
2.772428e+04	3.433995e+12	1.174094e+06	300.0
2.807858e+04	3.562907e+12	1.263045e+06	300.0
2.844205e+04	3.702022e+12	1.355412e+06	300.0
2.881508e+04	3.837972e+12	1.451297e+06	300.0
2.919799e+04	3.984521e+12	1.550713e+06	300.0
2.959123e+04	4.140728e+12	1.654051e+06	300.0
2.999520e+04	4.299776e+12	1.761338e+06	300.0
3.041037e+04	4.468151e+12	1.872816e+06	300.0
3.083718e+04	4.639839e+12	1.988623e+06	300.0
3.127613e+04	4.820551e+12	2.108910e+06	300.0
3.172778e+04	5.019486e+12	2.234008e+06	300.0
3.219266e+04	5.220783e+12	2.364261e+06	300.0
3.267134e+04	5.434900e+12	2.499684e+06	300.0
3.316451e+04	5.663592e+12	2.640847e+06	300.0
3.367277e+04	5.894061e+12	2.787794e+06	300.0
3.419686e+04	6.145969e+12	2.940885e+06	300.0
3.473752e+04	6.413454e+12	3.100610e+06	300.0
3.529555e+04	6.693231e+12	3.267254e+06	300.0
3.587182e+04	6.987461e+12	3.441244e+06	300.0
3.646721e+04	7.299419e+12	3.622926e+06	300.0
3.708268e+04	7.635704e+12	3.812858e+06	300.0
3.771928e+04	7.989160e+12	4.011598e+06	300.0
3.837815e+04	8.370008e+12	4.219652e+06	300.0
3.906041e+04	8.781539e+12	4.437850e+06	300.0
3.976741e+04	9.226569e+12	4.666909e+06	300.0
4.050044e+04	9.709126e+12	4.907810e+06	300.0
4.126099e+04	1.022913e+13	5.161419e+06	300.0
4.205068e+04	1.079084e+13	5.428834e+06	300.0
4.287118e+04	1.139397e+13	5.711037e+06	300.0
4.372436e+04	1.203928e+13	6.009181e+06	300.0
4.461216e+04	1.274190e+13	6.324393e+06	300.0
4.553675e+04	1.350099e+13	6.658225e+06	300.0
4.625577e+04	1.410656e+13	6.921556e+06	300.0
4.699784e+04	1.474944e+13	7.196792e+06	300.0
4.776409e+04	1.542832e+13	7.484600e+06	300.0
4.855578e+04	1.614662e+13	7.785774e+06	300.0
4.937413e+04	1.690924e+13	8.101055e+06	300.0
5.022053e+04	1.772403e+13	8.431380e+06	300.0
5.109649e+04	1.858337e+13	8.777716e+06	300.0
5.200350e+04	1.949758e+13	9.140928e+06	300.0
5.294333e+04	2.047562e+13	9.522239e+06	300.0
5.391774e+04	2.151404e+13	9.922797e+06	300.0
5.492872e+04	2.263154e+13	1.034390e+07	300.0
5.597832e+04	2.382237e+13	1.078709e+07	300.0
5.706878e+04	2.508982e+13	1.125369e+07	300.0
5.820259e+04	2.645972e+13	1.174548e+07	300.0
5.938238e+04	2.793026e+13	1.226439e+07	300.0
6.061098e+04	2.949694e+13	1.281230e+07	300.0
6.189155e+04	3.117852e+13	1.339125e+07	300.0
6.322728e+04	3.300663e+13	1.400367e+07	300.0
6.462203e+04	3.498805e+13	1.465252e+07	300.0
6.607967e+04	3.712009e+13	1.534064e+07	300.0
6.760455e+04	3.943330e+13	1.607115e+07	300.0
6.920154e+04	4.196087e+13	1.684784e+07	300.0
7.087577e+04	4.470719e+13	1.767449e+07	300.0
7.145200e+04	4.569381e+13	1.796187e+07	300.0
7.203771e+04	4.669259e+13	1.825545e+07	300.0
7.263307e+04	4.769808e+13	1.855541e+07	300.0
7.323830e+04	4.873487e+13	1.886179e+07	300.0
7.385370e+04	4.982154e+13	1.917495e+07	300.0
7.447963e+04	5.090550e+13	1.949507e+07	300.0
7.511620e+04	5.204580e+13	1.982216e+07	300.0
7.576376e+04	5.320713e+13	2.015667e+07	300.0
7.642253e+04	5.439398e+13	2.049851e+07	300.0
7.709290e+04	5.563323e+13	2.084817e+07	300.0
7.777519e+04	5.688989e+13	2.120574e+07	300.0
7.846961e+04	5.820530e+13	2.157147e+07	300.0
7.917654e+04	5.954615e+13	2.194566e+07	300.0
7.989633e+04	6.092484e+13	2.232845e+07	300.0
8.062927e+04	6.234321e+13	2.272014e+07	300.0
8.137584e+04	6.379661e+13	2.312097e+07	300.0
8.213646e+04	6.531790e+13	2.353131e+07	300.0
8.291128e+04	6.687447e+13	2.395136e+07	300.0
8.370091e+04	6.847014e+13	2.438143e+07	300.0
8.450567e+04	7.012893e+13	2.482183e+07	300.0
8.532612e+04	7.182690e+13	2.527295e+07	300.0
8.616276e+04	7.359461e+13	2.573511e+07	300.0
8.701586e+04	7.542386e+13	2.620867e+07	300.0
8.788596e+04	7.729474e+13	2.669393e+07	300.0
8.877370e+04	7.923662e+13	2.719135e+07	300.0
8.967955e+04	8.125019e+13	2.770133e+07	300.0
9.060402e+04	8.331286e+13	2.822426e+07	300.0
9.154787e+04	8.545242e+13	2.876059e+07	300.0
9.251154e+04	8.768071e+13	2.931079e+07	300.0
9.349563e+04	8.998210e+13	2.987533e+07	300.0
9.450096e+04	9.236288e+13	3.045479e+07	300.0
9.552822e+04	9.481645e+13	3.104968e+07	300.0
9.657798e+04	9.738112e+13	3.166044e+07	300.0
9.765107e+04	1.000358e+14	3.228784e+07	300.0
9.874827e+04	1.027775e+14	3.293235e+07	300.0
9.987041e+04	1.056461e+14	3.359469e+07	300.0
1.010183e+05	1.085843e+14	3.427555e+07	300.0
1.021931e+05	1.116676e+14	3.497549e+07	300.0
1.033952e+05	1.148634e+14	3.569538e+07	300.0
1.046261e+05	1.181800e+14	3.643591e+07	300.0
1.058866e+05	1.216308e+14	3.719811e+07	300.0
1.071780e+05	1.252043e+14	3.798256e+07	300.0
1.085012e+05	1.289518e+14	3.879033e+07	300.0
1.098574e+05	1.328400e+14	3.962232e+07	300.0
1.112480e+05	1.369105e+14	4.047957e+07	300.0
