rho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]
4.040000e+03	3.620000e+10	1.890000e+09	1994.22	131.97
3.530000e+03	1.942000e+10	2.560000e+09	1995.31	131.5
3.110000e+03	8.720000e+09	1.560000e+09	1994.66	149.13
2.750000e+03	3.110000e+09	1.340000e+09	1995.34	141.81
2.440000e+03	-4.200000e+08	1.130000e+09	1999.77	134.04
5.370000e+03	1.401200e+11	2.650000e+09	2999.86	201.63
4.640000e+03	7.548000e+10	2.760000e+09	2989.37	197.27
4.040000e+03	4.125000e+10	4.180000e+09	3000.1	198.83
3.110000e+03	1.132000e+10	1.610000e+09	2999.9	195.68
2.750000e+03	4.730000e+09	1.510000e+09	3000.04	196.39
2.440000e+03	1.250000e+09	1.390000e+09	2999.94	192.41
2.180000e+03	-4.500000e+08	1.330000e+09	3000.32	201.81
5.370000e+03	1.483500e+11	2.910000e+09	4000.3	267.26
4.640000e+03	8.380000e+10	2.660000e+09	4000.27	256.86
4.040000e+03	4.833000e+10	2.230000e+09	3999.62	256.87
3.530000e+03	2.670000e+10	2.180000e+09	3999.86	278.33
3.110000e+03	1.454000e+10	1.920000e+09	4000.98	268.29
2.750000e+03	6.770000e+09	1.710000e+09	4000.75	270.06
2.440000e+03	2.690000e+09	1.490000e+09	3999.97	260.05
2.180000e+03	5.700000e+08	1.370000e+09	4000.01	262.61
1.960000e+03	-1.900000e+08	1.300000e+09	4000.33	284.98
5.370000e+03	1.575700e+11	3.200000e+09	5000.13	324.04
4.640000e+03	9.236000e+10	2.970000e+09	5000.15	324.36
4.040000e+03	5.396000e+10	2.680000e+09	5000.02	331.12
3.530000e+03	3.106000e+10	2.320000e+09	5000.19	309.46
3.110000e+03	1.753000e+10	2.060000e+09	4999.77	355.02
2.750000e+03	9.380000e+09	1.820000e+09	5000.17	340.97
2.440000e+03	4.640000e+09	1.590000e+09	5000.4	308.7
2.180000e+03	2.120000e+09	1.630000e+09	4999.38	338.3
1.960000e+03	5.900000e+08	1.410000e+09	4999.28	318.44
1.760000e+03	1.100000e+08	1.240000e+09	5000.48	324.52
1.590000e+03	-2.600000e+08	1.170000e+09	5000.17	339.03
