P(Pa),T(K),Fe_x_frac,O_x_frac,V(m3/mol),Molar Mass,Density
152968593000.00,4001.14,1,0,4.97973E-06,0.055845,11214.45795
174231446000.00,3999.28,1,0,4.84141E-06,0.055845,11534.85194
198573114000.00,3999.61,1,0,4.69727E-06,0.055845,11888.82143
226053210000.00,4000.75,1,0,4.57251E-06,0.055845,12213.20374
254870974000.00,3999.60,1,0,4.44188E-06,0.055845,12572.39294
146104020000.00,5000.69,1,0,5.12066E-06,0.055845,10905.82071
165111622000.00,5000.54,1,0,4.97973E-06,0.055845,11214.45795
187658331000.00,4999.28,1,0,4.84141E-06,0.055845,11534.85194
212328465000.00,4999.74,1,0,4.69727E-06,0.055845,11888.82143
258707741000.00,4999.51,1,0,4.48514E-06,0.055845,12451.11667
152116823000.00,5999.87,1,0,5.16822E-06,0.055845,10805.46103
157787757000.00,5999.74,1,0,5.12066E-06,0.055845,10905.82071
164846569000.00,6000.99,1,0,5.07339E-06,0.055845,11007.42708
226393278000.00,6001.39,1,0,4.69727E-06,0.055845,11888.82143
271672334000.00,6000.51,1,0,4.48514E-06,0.055845,12451.11667
304910982000.00,5998.21,1,0,4.35618E-06,0.055845,12819.71168
328675735000.00,6000.15,1,0,4.2716E-06,0.055845,13073.56005
147979523625.46,4000.62,0.907407407,0.092592593,4.8396E-06,0.050822306,10501.33722
170465232000.00,3998.57,0.907407407,0.092592593,4.69727E-06,0.050822306,10819.53824
182653826000.00,3997.22,0.907407407,0.092592593,4.62716E-06,0.050822306,10983.46787
195549774000.00,3999.40,0.907407407,0.092592593,4.55776E-06,0.050822306,11150.72595
220492246000.00,4001.51,0.907407407,0.092592593,4.42103E-06,0.050822306,11495.5697
253091045000.00,4000.00,0.907407407,0.092592593,4.28707E-06,0.050822306,11854.78067
286806403000.00,4000.89,0.907407407,0.092592593,4.15584E-06,0.050822306,12229.11494
141505323492.17,4999.74,0.907407407,0.092592593,4.98478E-06,0.050822306,10195.49253
160477191369.54,5001.60,0.907407407,0.092592593,4.8396E-06,0.050822306,10501.33722
182774387000.00,5001.43,0.907407407,0.092592593,4.69727E-06,0.050822306,10819.53824
195779889000.00,4997.95,0.907407407,0.092592593,4.62716E-06,0.050822306,10983.46787
208231115000.00,4998.31,0.907407407,0.092592593,4.55776E-06,0.050822306,11150.72595
234986993000.00,4997.10,0.907407407,0.092592593,4.42103E-06,0.050822306,11495.5697
266935967000.00,4999.34,0.907407407,0.092592593,4.28707E-06,0.050822306,11854.78067
302078539000.00,4997.93,0.907407407,0.092592593,4.15584E-06,0.050822306,12229.11494
152970091269.58,5999.03,0.907407407,0.092592593,4.98478E-06,0.050822306,10195.49253
172939395101.63,5998.94,0.907407407,0.092592593,4.8396E-06,0.050822306,10501.33722
196100550000.00,6006.33,0.907407407,0.092592593,4.69727E-06,0.050822306,10819.53824
207656828000.00,5996.74,0.907407407,0.092592593,4.62716E-06,0.050822306,10983.46787
220251625000.00,5997.07,0.907407407,0.092592593,4.55776E-06,0.050822306,11150.72595
249150075000.00,5997.14,0.907407407,0.092592593,4.42103E-06,0.050822306,11495.5697
280356178000.00,5996.08,0.907407407,0.092592593,4.28707E-06,0.050822306,11854.78067
316458229000.00,6000.96,0.907407407,0.092592593,4.15584E-06,0.050822306,12229.11494
145708854000.00,4000.71,0.814814815,0.185185185,4.69727E-06,0.045799611,9750.25903
155806403000.00,4000.78,0.814814815,0.185185185,4.62716E-06,0.045799611,9897.987734
166691345000.00,4000.37,0.814814815,0.185185185,4.55776E-06,0.045799611,10048.71594
189562281000.00,3997.69,0.814814815,0.185185185,4.42103E-06,0.045799611,10359.47929
217278139000.00,4000.89,0.814814815,0.185185185,4.28707E-06,0.045799611,10683.18996
246324662000.00,3999.93,0.814814815,0.185185185,4.15584E-06,0.045799611,11020.52932
279633316000.00,3999.92,0.814814815,0.185185185,4.02732E-06,0.045799611,11372.22222
138231023292.24,4998.45,0.814814815,0.185185185,4.8396E-06,0.045799611,9463.505354
