,P(GPa),P(Pa),V(Å3/atom),V(m3/mol),Molar Mass,Density,T(K),V_0s,,,,
Fe108         (0 wt% O),152.97 ,152968593000.00 ,8.27 ,4.97973E-06,0.055845,11214.45795,4001.14 ,13.94,8.39486E-06,,,
,174.23 ,174231446000.00 ,8.04 ,4.84141E-06,0.055845,11534.85194,3999.28 ,8.24,4.96224E-06,,,
,198.57 ,198573114000.00 ,7.80 ,4.69727E-06,0.055845,11888.82143,3999.61 ,,,,,
,226.05 ,226053210000.00 ,7.59 ,4.57251E-06,0.055845,12213.20374,4000.75 ,,,,,
,254.87 ,254870974000.00 ,7.38 ,4.44188E-06,0.055845,12572.39294,3999.60 ,,,,,
,146.10 ,146104020000.00 ,8.50 ,5.12066E-06,0.055845,10905.82071,5000.69 ,,,,,
,165.11 ,165111622000.00 ,8.27 ,4.97973E-06,0.055845,11214.45795,5000.54 ,,,,,
,187.66 ,187658331000.00 ,8.04 ,4.84141E-06,0.055845,11534.85194,4999.28 ,,,,,
,212.33 ,212328465000.00 ,7.80 ,4.69727E-06,0.055845,11888.82143,4999.74 ,,,,,
,258.71 ,258707741000.00 ,7.45 ,4.48514E-06,0.055845,12451.11667,4999.51 ,,,,,
,152.12 ,152116823000.00 ,8.58 ,5.16822E-06,0.055845,10805.46103,5999.87 ,,,,,
,157.79 ,157787757000.00 ,8.50 ,5.12066E-06,0.055845,10905.82071,5999.74 ,,,,,
,164.85 ,164846569000.00 ,8.42 ,5.07339E-06,0.055845,11007.42708,6000.99 ,,,,,
,226.39 ,226393278000.00 ,7.80 ,4.69727E-06,0.055845,11888.82143,6001.39 ,,,,,
,271.67 ,271672334000.00 ,7.45 ,4.48514E-06,0.055845,12451.11667,6000.51 ,,,,,
,304.91 ,304910982000.00 ,7.23 ,4.35618E-06,0.055845,12819.71168,5998.21 ,,,,,
,328.68 ,328675735000.00 ,7.09 ,4.2716E-06,0.055845,13073.56005,6000.15 ,,,,,
Fe98O10      (2.8 wt% O),147.98 ,147979523625.46 ,8.04 ,4.8396E-06,0.050822306,10501.33722,4000.62 ,,,,,
,170.47 ,170465232000.00 ,7.80 ,4.69727E-06,0.050822306,10819.53824,3998.57 ,,,,,
,182.65 ,182653826000.00 ,7.68 ,4.62716E-06,0.050822306,10983.46787,3997.22 ,,,,,
,195.55 ,195549774000.00 ,7.57 ,4.55776E-06,0.050822306,11150.72595,3999.40 ,,,,,
,220.49 ,220492246000.00 ,7.34 ,4.42103E-06,0.050822306,11495.5697,4001.51 ,,,,,
,253.09 ,253091045000.00 ,7.12 ,4.28707E-06,0.050822306,11854.78067,4000.00 ,,,,,
,286.81 ,286806403000.00 ,6.90 ,4.15584E-06,0.050822306,12229.11494,4000.89 ,,,,,
,141.51 ,141505323492.17 ,8.28 ,4.98478E-06,0.050822306,10195.49253,4999.74 ,,,,,
,160.48 ,160477191369.54 ,8.04 ,4.8396E-06,0.050822306,10501.33722,5001.60 ,,,,,
,182.77 ,182774387000.00 ,7.80 ,4.69727E-06,0.050822306,10819.53824,5001.43 ,,,,,
,195.78 ,195779889000.00 ,7.68 ,4.62716E-06,0.050822306,10983.46787,4997.95 ,,,,,
,208.23 ,208231115000.00 ,7.57 ,4.55776E-06,0.050822306,11150.72595,4998.31 ,,,,,
,234.99 ,234986993000.00 ,7.34 ,4.42103E-06,0.050822306,11495.5697,4997.10 ,,,,,
,266.94 ,266935967000.00 ,7.12 ,4.28707E-06,0.050822306,11854.78067,4999.34 ,,,,,
,302.08 ,302078539000.00 ,6.90 ,4.15584E-06,0.050822306,12229.11494,4997.93 ,,,,,
,152.97 ,152970091269.58 ,8.28 ,4.98478E-06,0.050822306,10195.49253,5999.03 ,,,,,
,172.94 ,172939395101.63 ,8.04 ,4.8396E-06,0.050822306,10501.33722,5998.94 ,,,,,
,196.10 ,196100550000.00 ,7.80 ,4.69727E-06,0.050822306,10819.53824,6006.33 ,,,,,
,207.66 ,207656828000.00 ,7.68 ,4.62716E-06,0.050822306,10983.46787,5996.74 ,,,,,
,220.25 ,220251625000.00 ,7.57 ,4.55776E-06,0.050822306,11150.72595,5997.07 ,,,,,
,249.15 ,249150075000.00 ,7.34 ,4.42103E-06,0.050822306,11495.5697,5997.14 ,,,,,
,280.36 ,280356178000.00 ,7.12 ,4.28707E-06,0.050822306,11854.78067,5996.08 ,,,,,
,316.46 ,316458229000.00 ,6.90 ,4.15584E-06,0.050822306,12229.11494,6000.96 ,,,,,
Fe88O20     (6.1 wt% O),145.71 ,145708854000.00 ,7.80 ,4.69727E-06,0.045799611,9750.25903,4000.71 ,,,,,
,155.81 ,155806403000.00 ,7.68 ,4.62716E-06,0.045799611,9897.987734,4000.78 ,,,,,
,166.69 ,166691345000.00 ,7.57 ,4.55776E-06,0.045799611,10048.71594,4000.37 ,,,,,
,189.56 ,189562281000.00 ,7.34 ,4.42103E-06,0.045799611,10359.47929,3997.69 ,,,,,
,217.28 ,217278139000.00 ,7.12 ,4.28707E-06,0.045799611,10683.18996,4000.89 ,,,,,
,246.32 ,246324662000.00 ,6.90 ,4.15584E-06,0.045799611,11020.52932,3999.93 ,,,,,
,279.63 ,279633316000.00 ,6.69 ,4.02732E-06,0.045799611,11372.22222,3999.92 ,,,,,
,138.23 ,138231023292.24 ,8.04 ,4.8396E-06,0.045799611,9463.505354,4998.45 ,,,,,
,157.31 ,157306653000.00 ,7.80 ,4.69727E-06,0.045799611,9750.25903,4999.43 ,,,,,
,167.67 ,167670835000.00 ,7.68 ,4.62716E-06,0.045799611,9897.987734,4997.73 ,,,,,
,178.61 ,178610805000.00 ,7.57 ,4.55776E-06,0.045799611,10048.71594,5001.45 ,,,,,
